,Mot,Nb d'apparition
0,enron,11940
1,s,10166
2,i,8119
3,the,6253
4,to,5980
5,john,5691
6,subject,5194
7,company,5022
8,say,4717
9,ect,4501
10,pm,4192
11,be,3475
12,2001,3389
13,cc,3318
14,message,3161
15,get,3108
16,image,3083
17,gas,3050
18,would,3039
19,email,2957
20,from,2945
21,re,2934
22,please,2764
23,send,2699
24,price,2632
25,new,2559
26,a,2558
27,market,2486
28,time,2427
29,year,2385
30,http,2374
31,enroncom,2353
32,u,2340
33,nt,2335
34,go,2194
35,20,2122
36,may,2089
37,energy,2048
38,power,2025
39,one,1980
40,original,1923
41,if,1920
42,call,1904
43,arnold,1898
44,arnoldhouect,1851
45,week,1819
46,trade,1779
47,business,1773
48,make,1739
49,know,1655
50,service,1617
51,think,1584
52,we,1567
53,last,1565
54,day,1560
55,buy,1531
56,deal,1518
57,stock,1504
58,it,1501
59,sell,1477
60,inc,1474
61,take,1465
62,work,1463
63,like,1462
64,in,1457
65,m,1456
66,1,1430
67,also,1421
68,share,1420
69,offer,1413
70,need,1410
71,see,1405
72,right,1398
73,million,1387
74,use,1350
75,could,1340
76,trading,1333
77,corp,1317
78,report,1301
79,2000,1290
80,this,1289
81,financial,1289
82,want,1282
83,2,1263
84,09,1256
85,communication,1241
86,billion,1234
87,credit,1204
88,thanks,1183
89,houston,1170
90,3,1162
91,information,1154
92,look,1153
93,come,1150
94,dow,1140
95,jones,1127
96,johnarnold,1112
97,natural,1110
98,all,1110
99,monday,1105
100,today,1099
101,include,1091
102,state,1086
103,good,1080
104,two,1080
105,well,1078
106,news,1066
107,future,1063
108,october,1058
109,month,1049
110,back,1043
111,jennifer,1039
112,forward,1035
113,p,1034
114,per,1024
115,group,1000
116,copyright,996
117,receive,989
118,next,982
119,product,973
120,you,964
121,td,936
122,give,932
123,e,929
124,value,929
125,project,928
126,plan,918
127,investor,918
128,change,911
129,question,909
130,contact,900
131,c,897
132,4,897
133,do,889
134,reserve,881
135,number,880
136,meeting,875
137,order,875
138,term,869
139,contract,863
140,much,863
141,help,862
142,spread,860
143,t,851
144,friday,848
145,tr,839
146,customer,834
147,high,833
148,for,818
149,first,812
150,tuesday,806
151,let,800
152,follow,799
153,transaction,798
154,still,797
155,but,796
156,move,794
157,5,793
158,span,787
159,provide,785
160,york,782
161,name,776
162,sale,774
163,issue,772
164,enronxgate,768
165,way,767
166,cent,756
167,executive,754
168,system,753
169,management,745
170,note,744
171,trader,743
172,investment,742
173,point,741
174,percent,741
175,electricity,736
176,long,735
177,pay,735
178,analyst,735
179,dynegy,731
180,wednesday,730
181,available,729
182,big,728
183,find,724
184,meet,723
185,0,723
186,ll,721
187,people,716
188,oil,708
189,source,707
190,close,705
191,talk,701
192,option,701
193,list,696
194,demand,695
195,jeff,693
196,cash,693
197,et,689
198,try,685
199,regard,676
200,cost,674
201,file,665
202,wine,656
203,rate,654
204,debt,653
205,free,650
206,10,649
207,run,648
208,utility,646
209,start,645
210,fax,643
211,set,642
212,problem,640
213,put,637
214,thursday,632
215,address,629
216,director,627
217,even,627
218,end,626
219,low,626
220,le,625
221,line,623
222,short,622
223,keep,608
224,mark,608
225,since,607
226,reuters,607
227,place,605
228,california,605
229,earnings,605
230,many,598
231,interest,595
232,eb,594
233,expect,594
234,click,593
235,tell,590
236,chief,590
237,partnership,590
238,15,589
239,mr,585
240,office,584
241,great,584
242,jarnold,583
243,position,582
244,ask,582
245,active,578
246,date,576
247,november,576
248,current,574
249,contain,574
250,result,574
251,member,573
252,exchange,573
253,industry,570
254,continue,566
255,thank,563
256,plant,561
257,asset,558
258,street,555
259,complete,553
260,large,553
261,opportunity,552
262,and,552
263,level,551
264,global,548
265,by,548
266,money,547
267,fund,545
268,hold,544
269,believe,544
270,review,542
271,thing,542
272,view,539
273,herein,537
274,no,537
275,update,535
276,loss,535
277,might,531
278,firm,531
279,base,530
280,link,526
281,rating,526
282,mba2002hbsedu,524
283,nymex,523
284,world,523
285,phone,519
286,agreement,518
287,j,514
288,access,512
289,they,511
290,chart,509
291,team,506
292,india,506
293,bank,505
294,three,504
295,president,504
296,web,503
297,25,503
298,epao,503
299,12,502
300,mailto,502
301,december,500
302,concern,500
303,lay,499
304,purchase,499
305,discus,498
306,around,498
307,risk,496
308,quarter,496
309,head,492
310,30,491
311,board,487
312,conference,486
313,what,485
314,employee,484
315,little,482
316,r,480
317,account,478
318,leave,478
319,he,477
320,l,477
321,weather,477
322,security,476
323,however,475
324,kim,474
325,consider,473
326,officer,473
327,book,472
328,part,471
329,best,471
330,increase,471
331,sure,470
332,on,466
333,ve,465
334,margaret,462
335,fraser,461
336,lead,460
337,d,457
338,ng,453
339,nbsp,450
340,charge,449
341,add,449
342,any,449
343,wall,448
344,allen,446
345,daily,445
346,past,445
347,co,442
348,possible,441
349,oct,441
350,there,440
351,cut,439
352,open,437
353,center,436
354,f,435
355,sign,435
356,equity,434
357,international,431
358,really,430
359,program,430
360,that,430
361,support,429
362,bid,427
363,de,427
364,due,426
365,morning,425
366,development,424
367,fall,424
368,check,423
369,intend,423
370,another,422
371,mike,421
372,eol,418
373,comment,418
374,job,415
375,lot,414
376,carr,413
377,late,412
378,must,412
379,accord,409
380,express,406
381,game,405
382,manager,403
383,11,403
384,clear,403
385,floor,401
386,hope,401
387,50,398
388,detail,396
389,total,395
390,city,395
391,post,394
392,process,392
393,bill,392
394,swap,392
395,limit,391
396,show,390
397,agree,388
398,government,388
399,special,387
400,internet,387
401,general,386
402,create,386
403,at,385
404,b,385
405,table,385
406,hedge,383
407,via,382
408,begin,381
409,your,378
410,david,376
411,early,376
412,dollar,375
413,production,374
414,broker,374
415,area,374
416,online,372
417,sit,370
418,lose,370
419,crude,369
420,6,369
421,13,369
422,home,368
423,storage,368
424,respond,368
425,allow,367
426,party,365
427,nat,364
428,several,363
429,guy,363
430,ee,362
431,n,362
432,curve,362
433,more,361
434,write,360
435,data,359
436,yesterday,359
437,second,359
438,already,358
439,manage,357
440,case,356
441,top,356
442,supply,356
443,either,355
444,ce,353
445,london,352
446,request,351
447,build,351
448,steve,350
449,yet,350
450,fastow,350
451,profit,349
452,g,348
453,bond,348
454,so,347
455,sunday,346
456,basis,346
457,official,345
458,hour,344
459,form,344
460,additional,343
461,able,343
462,w,343
463,july,343
464,night,342
465,seem,342
466,strong,342
467,commission,342
468,every,341
469,desk,341
470,september,341
471,100,339
472,press,339
473,june,339
474,nov,339
475,amount,338
476,tomorrow,338
477,schedule,335
478,michael,334
479,economic,334
480,rise,334
481,impact,332
482,volume,331
483,america,330
484,event,329
485,decline,329
486,bring,327
487,nothing,327
488,announce,327
489,reason,326
490,have,326
491,third,326
492,network,325
493,become,323
494,north,322
495,broadband,322
496,standard,322
497,alignleft,322
498,7,321
499,02,321
500,worth,321
501,major,320
502,finance,319
503,site,318
504,bmc,318
505,visit,318
506,return,318
507,dec,317
508,march,317
509,period,315
510,class,315
511,brian,314
512,interview,313
513,happen,313
514,national,312
515,associate,311
516,mean,311
517,field,311
518,recent,310
519,matrix,310
520,winter,310
521,with,310
522,offset,310
523,august,309
524,average,309
525,drop,309
526,location,308
527,notice,306
528,713,306
529,far,305
530,technology,304
531,jan,303
532,corporation,303
533,2002,303
534,chairman,303
535,four,302
536,affiliate,301
537,though,301
538,outlook,301
539,ago,300
540,decision,300
541,white,300
542,idea,299
543,attachment,299
544,portfolio,299
545,bob,298
546,whether,298
547,play,297
548,29,297
549,pipeline,296
550,electric,296
551,operation,295
552,portland,295
553,1999,294
554,record,294
555,attach,293
556,remain,293
557,potential,292
558,unit,292
559,rule,292
560,shareholder,292
561,index,291
562,size,290
563,soon,289
564,material,289
565,commercial,289
566,currently,288
567,estimate,288
568,k,288
569,hear,287
570,attend,287
571,ene,286
572,least,285
573,hot,285
574,9,285
575,of,285
576,relationship,284
577,reduce,284
578,accept,284
579,real,282
580,commodity,282
581,journal,282
582,08,281
583,carrfutcom,280
584,andor,279
585,require,279
586,18,278
587,confirm,278
588,colspan,278
589,8,277
590,capital,277
591,bloomberg,277
592,fee,276
593,ca,275
594,force,274
595,economy,274
596,different,274
597,feel,272
598,northwest,272
599,release,270
600,texas,270
601,summer,269
602,partner,269
603,14,269
604,sector,269
605,1000,269
606,border,269
607,h,268
608,tax,268
609,can,268
610,anything,268
611,statement,268
612,dabhol,268
613,corporate,267
614,growth,266
615,soblander,265
616,compaq,265
617,action,265
618,american,264
619,recently,264
620,net,263
621,paper,263
622,speak,262
623,frank,262
624,understand,262
625,continental,262
626,hotel,262
627,represent,261
628,country,261
629,quote,259
630,something,259
631,develop,259
632,ward,259
633,lng,259
634,staff,258
635,strategic,257
636,info,257
637,small,257
638,april,257
639,fell,257
640,na,257
641,jim,256
642,without,255
643,dinner,254
644,how,254
645,vice,254
646,execute,254
647,extra,254
648,br,254
649,solution,253
650,front,253
651,answer,252
652,scott,251
653,fuel,251
654,side,251
655,toute,251
656,effort,250
657,senior,250
658,sarahjoy,250
659,classemailtextblack,250
660,kevin,249
661,21,248
662,discussion,247
663,software,247
664,turn,247
665,16,247
666,likely,247
667,cover,247
668,th,247
669,maybe,246
670,fw,246
671,probably,245
672,heat,245
673,save,245
674,chicago,243
675,friend,243
676,23,243
677,hard,241
678,important,241
679,never,241
680,copy,241
681,thru,241
682,recipient,241
683,person,240
684,full,239
685,page,239
686,enough,239
687,sec,239
688,seek,238
689,just,238
690,private,238
691,merger,238
692,500,237
693,hunter,237
694,later,237
695,purpose,237
696,usa,235
697,not,235
698,user,235
699,minute,234
700,away,234
701,an,234
702,publish,233
703,reply,233
704,26,233
705,participant,233
706,english,233
707,after,232
708,behalf,232
709,january,232
710,enter,232
711,solely,231
712,within,231
713,fail,231
714,150,230
715,focus,230
716,confidential,230
717,water,230
718,when,229
719,opinion,229
720,switch,229
721,session,229
722,disclosure,229
723,slafontaine,228
724,globalpcom,228
725,andy,228
